词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
纱帐,2,室内陈设,1,2,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”东边便设着卧榻拔步床，上悬着葱绿双绣花卉草虫的纱帐。
院墙,2,建筑形制,1,2,17,大观园试才题对额 荣国府归省庆元宵,,,后院墙下忽开一隙，得泉一派，开沟尺许，灌入墙内，绕阶缘屋至前院，盘旋竹下而出。
书桌,2,室内陈设,1,1,84,试文字宝玉始提亲 探惊风贾环重结怨,,,”宝玉连忙叫人传话与焙茗，叫他：“往学房中去，我书桌子抽屉里有一本薄薄儿竹纸本子，上面写着‘窗课’两字的就是，快拿来。
交椅,2,室内陈设,1,1,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,左右设下交椅，然后又按长幼挨次归坐受礼。
侧门,2,建筑形制,1,1,71,嫌隙人有心生嫌隙 鸳鸯女无意遇鸳鸯,,,到了侧门前，就有才两个婆子的女儿上来哭着求情。
倒座,2,建筑形制,1,1,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”王夫人忙携了黛玉，出后房门，由后廊往西，出了角门是一条南北甬路，南边是倒座三间小小抱厦厅，北边立着一个粉油大影壁，后有一个半大门，小小一所房屋。
凉榻,2,室内陈设,1,1,34,情中情因情感妹妹 错里错以错劝哥哥,,,王夫人正坐在凉榻上，摇着芭蕉扇子。
启户,2,起居生活,1,1,59,柳叶渚边嗔莺叱燕 绛芸轩里召将飞符,,,及启户视之，见院中土润苔青，原来五更时落了几点微雨。
围墙,2,建筑形制,1,1,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,大门外虽冷落无人，隔着围墙一望，里面厅殿楼阁也还都峥嵘轩峻，就是后边一带花园里，树木山石，也都还有葱蔚洇润之气，那里象个衰败之家。
妆匣,2,室内陈设,1,1,111,鸳鸯女殉主登太虚 狗彘奴欺天招伙盗,衣-妆饰脂粉,,”鸳鸯这么一想，邪侵入骨，便站起来，一面哭，一面开了妆匣，取出那年铰的一绺头发揣在怀里，就在身上解下一条汗巾，按着秦氏方才比的地方拴上。
