词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
莲子,2,果品干果,2,2,10,金寡妇贪利权受辱 张太医论病细穷源,,,药二钱抄 真阿胶二钱 延胡索钱半酒炒 炙甘草八分 引用建莲子
酒壶,2,酒茶饮品,2,2,91,纵淫心宝蟾工设计 步疑阵宝玉妄谈禅,食-饮馔器具,,及至见了薛蝌，仍是昨晚光景，并无邪僻，自己只得以假为真，端了碟子回来，却故意留下酒壶，以为再来搭转之地。
酒杯,2,酒茶饮品,2,2,38,林潇湘魁夺菊花诗 薛蘅芜讽和螃蟹咏,,,闲趁霜晴试一游，酒杯药盏莫淹留。
野鸭,2,菜肴珍馐,2,2,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,就是野鸭子头上的毛做的。
桃,1,果品干果,1,69,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,靥笑春桃兮，云髻堆翠，唇绽樱颗兮，榴齿含香。
姜,1,蔬菜调料,1,15,17,大观园试才题对额 荣国府归省庆元宵,,,想来那《离骚》、《文选》所有的那些异草：有叫作什么霍纳姜汇的，也有叫作什么纶组紫绎的。
蜜,1,酒茶饮品,1,11,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,他嘴里一时甜言蜜语，一时有天没日，疯疯傻傻，只休信他。
枣,1,果品干果,1,6,10,金寡妇贪利权受辱 张太医论病细穷源,,,七粒去心、大枣二枚
卤,1,菜肴珍馐,1,5,34,情中情因情感妹妹 错里错以错劝哥哥,,,只拿那糖腌的玫瑰卤子和了，吃了小半碗，嫌吃絮了，不香甜。
米粥,2,主食饭粥,1,3,54,史太君破陈腐旧套 王熙凤效戏彩斑衣,,,”凤姐儿忙道：“也有枣儿熬的粳米粥，预备太太们吃斋的。
杓,1,饮馔器具,1,2,50,芦雪庭争联即景诗 暖香坞雅制春灯谜,,,阳回斗转杓。
红枣,2,果品干果,1,2,19,情切切良宵花解语 意绵绵静日玉生香,,,果品却只有五样：一是红枣，二是栗子，三是落花生，四是菱角，五是香芋。
葡萄,2,果品干果,1,2,60,茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜,,,见芳官拿了一个五寸来高的小玻璃瓶来，迎亮照着，里面有半瓶胭脂一般的汁子，还当是宝玉吃的西洋葡萄酒。
蒜,1,蔬菜调料,1,2,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”刘老老道：“一个萝卜一头蒜。
鸡皮汤,3,菜肴珍馐,1,2,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,作了酸笋鸡皮汤，宝玉痛喝了几碗，又吃了半碗多碧粳粥，一时薛、林二人也吃完了饭，又酽酽的喝了几碗茶。
何首乌,3,滋补药膳,1,1,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,龟大何首乌，千年松根茯苓胆，诸如此类的药不算为奇，只在群药里算，那为君的药，说起来，唬人一跳！
作东,2,宴饮起居,1,1,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,宝钗听他说了半日，皆不妥当，因向他说道：“既开社，就要作东。
六安茶,3,酒茶饮品,1,1,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,贾母道：“我不吃六安茶。
劝酒,2,宴饮起居,1,1,117,阻超凡佳人双护玉 欣聚党恶子独承家,,,一日，邢大舅王仁都在贾家外书房喝酒，一时高兴，叫了几个陪酒的来唱着喝着劝酒。
合欢杯,3,饮馔器具,1,1,94,宴海棠贾母赏花妖 失宝玉通灵知奇祸,,,莫道此花知识浅，欣荣预佐合欢杯。
天王补心丹,5,滋补药膳,1,1,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,宝钗抿嘴笑道：“想是天王补心丹。
女儿茶,3,酒茶饮品,1,1,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,”袭人、晴雯二人忙说：“焖了一茶缸子女儿茶，已经喝过两碗了。
定窑,2,饮馔器具,1,1,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,那四十个碟子，皆是一色白彩定窑的，不过小茶碟大，里面自是山南海北干鲜水陆的酒馔果菜。
屠苏酒,3,酒茶饮品,1,1,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,摆上合欢宴来，男东女西归坐，献屠苏酒、合欢汤、吉祥果、如意糕毕。
山羊血,3,滋补药膳,1,1,31,撕扇子作千金一笑 因麒麟伏白首双星,,,”宝玉的意思即刻便要叫人烫黄酒，要山羊血峒丸来。
山药糕,3,主食饭粥,1,1,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,,昨日老太太赏的那枣泥馅的山药糕，我吃了两块，倒象克化的动的似的。
川芎,2,滋补药膳,1,1,10,金寡妇贪利权受辱 张太医论病细穷源,,,芍二钱 川芎一钱五分 黄芪三钱 香附米二钱 醋柴胡八分 淮山
布菜,2,宴饮起居,1,1,68,苦尤娘赚入大观园 酸凤姐大闹宁国府,,,一面老婆丫头们摆上酒菜来，尤氏亲自递酒布菜。
建莲红枣汤,5,点心糕点,1,1,52,俏平儿情掩虾须镯 勇晴雯病补孔雀裘,,,小丫头便用小茶盘捧了一盖碗建莲红枣汤来，宝玉喝了两口。
御田胭脂米,5,主食饭粥,1,1,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,…袋，大对虾五十对，干虾二百斤，银霜炭上等选用一千斤，中等二千斤，柴炭三万斤，御田胭脂米二担，碧糯五十斛．白糯五十斛，粉粳五十斛，杂色粱谷各五十斛，下用常米一千担，各色干…
普洱茶,3,酒茶饮品,1,1,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,”林之孝家的又向袭人等笑说：“该焖些普洱茶喝。
松瓤鹅油卷,5,菜肴珍馐,1,1,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,这盒内是两样蒸食：一样是藕粉桂花糖糕，一样是松瓤鹅油卷。
果子酒,3,酒茶饮品,1,1,93,甄家仆投靠贾家门 水月庵掀翻风月案,,,我今儿带些果子酒，大家吃着乐一夜好不好？
枫露茶,3,酒茶饮品,1,1,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,”宝玉吃了半盏，忽又想起早晨的茶来，问茜雪道：“早起沏了碗枫露茶，我说过那茶是三四次后才出色，这会子怎么又斟上这个茶来？
栗粉糕,3,主食饭粥,1,1,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,又揭开那个，是一碟子桂花糖蒸的新栗粉糕。
榧子,2,果品干果,1,1,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,”宝玉笑道：“给你个榧子吃呢！
樱桃,2,果品干果,1,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”鸳鸯道：“凑成一个‘樱桃九熟’。
江米粥,3,主食饭粥,1,1,87,感秋声抚琴悲往事 坐禅寂走火入邪魔,,,”紫鹃道：“还熬了一点江米粥。
汤羊,2,菜肴珍馐,1,1,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,…汤猪二十个，龙猪二十个，野猪二十个，家腊猪二十个，野羊二十个，青羊二十个，家汤羊二十个，家风羊二十个，鲟鳇鱼二百个，各色杂鱼二百斤，活鸡、鸭、鹅各二百只，风鸡、鸭、鹅二…
煨,1,菜肴珍馐,1,1,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,再用鸡肉脯子合香菌、新笋、蘑菇、五香豆腐干子、各色干果子，都切成钉儿，拿鸡汤煨干了，拿香油一收，外加糟油一拌，盛在磁罐子里封严了。
熟地,2,滋补药膳,1,1,10,金寡妇贪利权受辱 张太医论病细穷源,,,人参二钱 白术二钱土炒 云苓三钱 熟地四钱 归身二钱 白
牛乳,2,酒茶饮品,1,1,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,好容易等摆上饭来，头一样菜是牛乳蒸羊羔，贾母就说：“这是我们有年纪人的药，没见天日的东西，可惜你们小孩子吃不得。
猪肉,2,菜肴珍馐,1,1,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,孩子们这么大了，‘没吃过猪肉，也见过猪跑。
甜瓜,2,果品干果,1,1,109,候芳魂五儿承错爱 还孽债迎女返真元,,,宝玉接来一瞧，那玉有三寸方圆，形似甜瓜，色有红晕，甚是精致。
白果,2,果品干果,1,1,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,头上齐额编着一圈小辫，总归至顶心，结一根粗辫，拖在脑后，右耳根内只塞着米粒大小的一个小玉塞子，左耳上单一个白果大小的硬红镶金大坠子，越显得面如满月犹白，眼似秋水还清。
白米,2,主食饭粥,1,1,75,开夜宴异兆发悲音 赏中秋新词得佳谶,,,贾母见尤氏吃的仍是白米饭，因问说：“怎么不盛我的饭？
白菜,2,蔬菜调料,1,1,87,感秋声抚琴悲往事 坐禅寂走火入邪魔,,,刚才我叫雪雁告诉厨房里，给姑娘作了一碗火肉白菜汤，加了一点儿虾米儿，配了点青笋紫菜，姑娘想着好么？
白饭,2,主食饭粥,1,1,61,投鼠忌器宝王瞒赃 判冤决狱平儿行权,,,我劝他们，细米白饭，每日肥鸡大鸭子，将就些儿也罢了。
米汤,2,主食饭粥,1,1,20,王熙凤正言弹妒意 林黛玉俏语谑娇音,,,次日清晨，袭人已是夜间出了汗，觉得轻松了些，只吃些米汤静养。
粽子,2,主食饭粥,1,1,31,撕扇子作千金一笑 因麒麟伏白首双星,,,难道是为争粽子吃，争恼了不成？
糖蒸酥酪,4,点心糕点,1,1,19,情切切良宵花解语 意绵绵静日玉生香,,,才要去时，忽又有贾妃赐出糖蒸酥酪来。
糟鹌鹑,3,菜肴珍馐,1,1,50,芦雪庭争联即景诗 暖香坞雅制春灯谜,,,”众人忙捧了过来回说：“是糟鹌鹑。
绍兴酒,3,酒茶饮品,1,1,63,寿怡红群芳开夜宴 死金丹独艳理亲丧,,,我和平儿说了，已经抬了一罐好绍兴酒藏在那边了。
羊肉,2,菜肴珍馐,1,1,65,贾二舍偷娶尤二姨 尤三姐思嫁柳二郎,,,我还说：‘就是块肥羊肉，无奈烫的慌！
老君眉,3,酒茶饮品,1,1,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,这是‘老君眉’。
肘子,2,菜肴珍馐,1,1,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,”因问平儿道：“早起我说那一碗火腿炖的肘子很烂，正好给妈妈吃，你怎么不拿了去赶着叫他们热来？
腊八粥,3,主食饭粥,1,1,19,情切切良宵花解语 意绵绵静日玉生香,,,那一年腊月初七老耗子升座议事，说：‘明儿是腊八儿了，世上的人都熬腊八粥，如今我们洞里果品短少，须得趁此打劫些个来才好。
茶卤,2,酒茶饮品,1,1,56,敏探春兴利除宿弊 贤宝钗小惠全大体,,,早有丫鬟捧过漱盂茶卤来漱了口。
茶点,2,酒茶饮品,1,1,54,史太君破陈腐旧套 王熙凤效戏彩斑衣,,,宝玉看了两个盒内都是席上所有的上等果品茶点，点了一点头就走。
茶面子,3,点心糕点,1,1,75,开夜宴异兆发悲音 赏中秋新词得佳谶,,,”李纨道：“昨日人家送来的好茶面子，倒是对碗来你喝罢。
菱粉糕,3,主食饭粥,1,1,39,村老老是信口开河 情哥哥偏寻根究底,,,这个盒子里，方才舅太太那里送来的菱粉糕和鸡油卷儿，给奶奶姑娘们吃的。
蒸笼,2,饮馔器具,1,1,38,林潇湘魁夺菊花诗 薛蘅芜讽和螃蟹咏,,,凤姐吩咐：“螃蟹不可多拿来，仍旧放在蒸笼里，拿十个来，吃了再拿。
蘑菇,2,菜肴珍馐,1,1,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,再用鸡肉脯子合香菌、新笋、蘑菇、五香豆腐干子、各色干果子，都切成钉儿，拿鸡汤煨干了，拿香油一收，外加糟油一拌，盛在磁罐子里封严了。
虾丸,2,菜肴珍馐,1,1,62,憨湘云醉眠芍药裀 呆香菱情解石榴裙,,,春燕接着揭开看时，里面是一碗虾丸鸡皮汤，又是一碗酒酿清蒸鸭子，一碟腌的胭脂鹅脯，还有一碟四个奶油松瓤卷酥，并一大碗热腾腾碧莹莹绿畦香稻粳米饭。
蜜饯,2,点心糕点,1,1,82,老学究讲义警顽心 病潇湘痴魂惊恶梦,,,”婆子方笑着回道：“我们姑娘叫给姑娘送一瓶儿蜜饯荔枝来。
行酒令,3,宴饮起居,1,1,42,蘅芜君兰言解疑癖 潇湘子雅谑补馀音,,,昨儿行酒令儿，你说的是什么？
西洋葡萄酒,5,酒茶饮品,1,1,60,茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜,,,见芳官拿了一个五寸来高的小玻璃瓶来，迎亮照着，里面有半瓶胭脂一般的汁子，还当是宝玉吃的西洋葡萄酒。
设宴,2,宴饮起居,1,1,105,锦农军查抄宁国府 骢马使弹劾平安州,,,话说贾政正在那里设宴请酒，忽见赖大急忙走上荣禧堂来，回贾政道：“有锦衣府堂官赵老爷带领好几位司官，说来拜望。
豆芽,2,菜肴珍馐,1,1,61,投鼠忌器宝王瞒赃 判冤决狱平儿行权,,,连前日三姑娘和宝姑娘偶然商量了要吃个油盐炒豆芽儿来，现打发个姐儿拿着五百钱给我。
进膳,2,宴饮起居,1,1,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,又有巡察地方总理关防太监，带了许多小太监来各处关防，挡围幕，指示贾宅人员何处出入，何处进膳，何处启事种种仪注。
酒酿,2,蔬菜调料,1,1,62,憨湘云醉眠芍药裀 呆香菱情解石榴裙,,,春燕接着揭开看时，里面是一碗虾丸鸡皮汤，又是一碗酒酿清蒸鸭子，一碟腌的胭脂鹅脯，还有一碟四个奶油松瓤卷酥，并一大碗热腾腾碧莹莹绿畦香稻粳米饭。
酸梅汤,3,酒茶饮品,1,1,34,情中情因情感妹妹 错里错以错劝哥哥,,,”袭人道：“老太太给的一碗汤，喝了两口，只嚷干渴，要吃酸梅汤。
酸笋鸡皮汤,5,菜肴珍馐,1,1,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,作了酸笋鸡皮汤，宝玉痛喝了几碗，又吃了半碗多碧粳粥，一时薛、林二人也吃完了饭，又酽酽的喝了几碗茶。
面条,2,主食饭粥,1,1,62,憨湘云醉眠芍药裀 呆香菱情解石榴裙,,,我也吃不惯那个面条子，早起也没好生吃。
香菌,2,蔬菜调料,1,1,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,再用鸡肉脯子合香菌、新笋、蘑菇、五香豆腐干子、各色干果子，都切成钉儿，拿鸡汤煨干了，拿香油一收，外加糟油一拌，盛在磁罐子里封严了。
香薷饮,3,滋补药膳,1,1,29,享福人福深还祷福 多情女情重愈斟情,,,心里一急，方才吃的香薷饮，便承受不住，“哇”的一声，都吐出来了。
鸡油卷儿,4,点心糕点,1,1,39,村老老是信口开河 情哥哥偏寻根究底,,,这个盒子里，方才舅太太那里送来的菱粉糕和鸡油卷儿，给奶奶姑娘们吃的。
鸽子蛋,3,菜肴珍馐,1,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,只见一个媳妇端了一个盒子站在当地，一个丫鬟上来揭去盒盖，里面盛着两碗菜，李纨端了一碗放在贾母桌上，凤姐偏拣了一碗鸽子蛋放在刘老老桌上。
鹅掌,2,菜肴珍馐,1,1,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,宝玉因夸前日在东府里珍大嫂子的好鹅掌。
麻油,2,蔬菜调料,1,1,87,感秋声抚琴悲往事 坐禅寂走火入邪魔,,,这里雪雁将黛玉的碗箸安放在小几儿上，因问黛玉道：“还有咱们南来的五香大头菜，拌些麻油、醋，可好么？
龙井,2,酒茶饮品,1,1,82,老学究讲义警顽心 病潇湘痴魂惊恶梦,,,因叫紫鹃：“把我的龙井茶给二爷沏一碗。
龙眼,2,果品干果,1,1,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,把这四样水调匀了，丸了龙眼大的丸子，盛在旧磁坛里，埋在花根底下。
蟹,1,菜肴珍馐,0,29,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,原文中未独立成词，多嵌于更长词语内,我们当铺里有个伙计，他们地里出的好螃蟹，前儿送了几个来。
